assessment_id,assessment_name,url,description,remote_support,adaptive_support,duration,test_type
1,Automata - Fix (New),https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,Tests coding bug fixing,Yes,No,30,Technical
2,Core Java (Entry Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,Tests entry-level Java programming skills,Yes,Yes,25,Technical
3,Java 8 (New),https://www.shl.com/solutions/products/product-catalog/view/java-8-new/,Tests Java 8 programming proficiency,Yes,Yes,30,Technical
4,Core Java (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,Tests advanced Java programming skills,Yes,Yes,35,Technical
5,Agile Software Development,https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/,Assesses knowledge of agile methodologies,Yes,No,30,Technical
6,Technology Professional 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/,Evaluates tech job-specific competencies,Yes,Yes,40,Technical
7,Computer Science (New),https://www.shl.com/solutions/products/product-catalog/view/computer-science-new/,Tests core computer science concepts,Yes,Yes,35,Technical
8,Entry Level Sales 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,Assesses entry-level sales skills,Yes,No,50,Behavioral
9,Entry Level Sales Sift Out 7.1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,Screens out unsuitable sales candidates,Yes,No,30,Behavioral
10,Entry Level Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/,Comprehensive sales skills assessment,Yes,No,55,Behavioral
11,Sales Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,Evaluates sales representative competencies,Yes,No,50,Behavioral
12,Sales Support Specialist Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-support-specialist-solution/,Assesses sales support skills,Yes,No,45,Behavioral
13,Technical Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/,Tests technical sales competencies,Yes,No,50,Behavioral
14,SVAR - Spoken English (Indian Accent) (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-indian-accent-new/,Evaluates spoken English proficiency,Yes,No,20,Language
15,Sales & Service Phone Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-and-service-phone-solution/,Assesses phone-based sales/service skills,Yes,No,40,Behavioral
16,Sales & Service Phone Simulation,https://www.shl.com/solutions/products/product-catalog/view/sales-and-service-phone-simulation/,Simulates phone-based sales scenarios,Yes,No,35,Behavioral
17,English Comprehension (New),https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/,Tests English reading comprehension,Yes,Yes,25,Cognitive
18,Motivation Questionnaire MQM5,https://www.shl.com/solutions/products/product-catalog/view/motivation-questionnaire-mqm5/,Assesses workplace motivation,Yes,No,30,Behavioral
19,Global Skills Assessment,https://www.shl.com/solutions/products/product-catalog/view/global-skills-assessment/,Evaluates global workplace skills,Yes,Yes,50,Behavioral
